sample_id,pH,TDS,temperature,turbidity,sugar_pct,citric_acid_pct,ascorbic_acid_pct,notes
LIT0071,5.55,4970.6,23.0,17.2,16.3795,0.0754,0.001251,Literature_Brix_TDS_t21.8h
LIT0072,5.67,5063.4,18.7,18.7,16.778,0.0695,0.00106,Literature_Brix_TDS_t22.0h
LIT0073,5.79,3099.6,25.8,15.2,5.4158,0.0601,0.001057,Literature_Brix_TDS_t7.4h
LIT0074,5.59,3316.6,29.5,14.6,8.5067,0.0726,0.00124,Literature_Brix_TDS_t11.5h
LIT0075,5.68,3975.6,29.6,13.0,11.7578,0.0727,0.00115,Literature_Brix_TDS_t17.6h
LIT0076,5.59,3951.7,26.9,15.9,12.6011,0.0802,0.001203,Literature_Brix_TDS_t18.0h
LIT0077,5.68,5558.4,23.8,17.3,17.8491,0.0738,0.001064,Literature_Brix_TDS_t23.5h
LIT0078,5.78,3253.5,25.5,8.0,4.521,0.0683,0.000885,Literature_Brix_TDS_t0.9h
LIT0079,5.63,4134.6,24.7,16.2,12.6511,0.0747,0.001125,Literature_Brix_TDS_t17.7h
LIT0080,5.66,3780.6,25.4,13.3,10.5154,0.0634,0.00118,Literature_Brix_TDS_t16.3h
LIT0081,5.62,4423.7,19.8,18.1,15.6583,0.0707,0.001169,Literature_Brix_TDS_t20.5h
LIT0082,5.89,3194.2,20.1,13.4,5.6316,0.0601,0.000999,Literature_Brix_TDS_t8.2h
LIT0083,5.61,5573.4,28.8,27.4,17.5189,0.0748,0.00127,Literature_Brix_TDS_t23.9h
LIT0084,5.78,3218.2,24.9,17.4,5.407,0.0651,0.000815,Literature_Brix_TDS_t1.6h
LIT0085,5.66,4117.2,19.3,11.6,12.4989,0.0749,0.001007,Literature_Brix_TDS_t18.0h
LIT0086,5.62,4150.4,19.4,21.3,12.7712,0.0763,0.001306,Literature_Brix_TDS_t17.8h
LIT0087,5.76,3464.4,22.7,21.5,9.5046,0.0655,0.000915,Literature_Brix_TDS_t13.5h
LIT0088,5.78,3324.3,29.4,14.7,5.8323,0.0657,0.001026,Literature_Brix_TDS_t4.4h
LIT0089,5.47,5392.4,16.9,16.0,17.1073,0.0825,0.001577,Literature_Brix_TDS_t23.0h
LIT0090,5.9,3177.9,25.8,8.8,4.7921,0.0622,0.000932,Literature_Brix_TDS_t1.2h
LIT0091,5.68,3284.1,16.0,14.5,7.4942,0.0667,0.000874,Literature_Brix_TDS_t10.0h
LIT0092,5.74,3094.9,20.5,8.0,7.6411,0.0628,0.000876,Literature_Brix_TDS_t10.4h
LIT0093,5.72,3223.6,22.5,15.6,5.7837,0.0696,0.000994,Literature_Brix_TDS_t5.5h
LIT0094,5.86,3177.5,16.4,8.0,5.512,0.053,0.00103,Literature_Brix_TDS_t3.3h
LIT0095,5.71,3284.5,27.9,23.7,9.0581,0.072,0.00092,Literature_Brix_TDS_t13.7h
LIT0096,5.58,4636.9,24.4,26.0,15.8364,0.082,0.001129,Literature_Brix_TDS_t20.5h
LIT0097,5.85,3157.6,21.8,17.5,6.1791,0.0655,0.000977,Literature_Brix_TDS_t7.6h
LIT0098,5.69,3049.0,25.9,21.7,6.2659,0.0769,0.001014,Literature_Brix_TDS_t8.3h
LIT0099,5.64,3605.8,18.4,17.0,9.5672,0.0689,0.001085,Literature_Brix_TDS_t14.3h
LIT0100,5.85,3302.3,28.6,12.3,5.6789,0.0621,0.000863,Literature_Brix_TDS_t0.4h
LIT0101,5.81,2968.0,25.3,8.0,5.5584,0.0642,0.00103,Literature_Brix_TDS_t6.6h
LIT0102,5.74,3135.3,23.7,15.2,6.0529,0.07,0.001053,Literature_Brix_TDS_t5.6h
LIT0103,5.69,3351.5,23.2,15.7,9.3553,0.069,0.001009,Literature_Brix_TDS_t13.6h
LIT0104,5.72,3226.9,25.6,16.4,7.1235,0.0649,0.000912,Literature_Brix_TDS_t9.8h
LIT0105,5.69,2886.1,28.3,13.7,5.1919,0.0709,0.001088,Literature_Brix_TDS_t4.8h
LIT0106,5.6,4258.1,28.7,14.8,12.2661,0.0726,0.001131,Literature_Brix_TDS_t17.5h
LIT0107,5.91,3098.4,21.3,20.6,6.2563,0.0596,0.00096,Literature_Brix_TDS_t4.9h
LIT0108,5.73,3206.4,24.4,13.1,7.07,0.0673,0.001023,Literature_Brix_TDS_t7.7h
LIT0109,5.78,3154.3,25.6,8.0,6.8872,0.0693,0.000871,Literature_Brix_TDS_t9.1h
LIT0110,5.78,3180.4,18.8,8.0,5.2763,0.0646,0.000903,Literature_Brix_TDS_t2.4h
LIT0111,5.83,3001.2,25.1,8.0,5.8759,0.056,0.000949,Literature_Brix_TDS_t6.2h
LIT0112,5.79,3108.2,29.8,9.9,5.8481,0.0612,0.000863,Literature_Brix_TDS_t7.1h
LIT0113,5.67,3106.9,27.8,9.8,5.8491,0.0703,0.001001,Literature_Brix_TDS_t3.3h
LIT0114,5.75,3249.9,26.3,15.9,5.6507,0.0621,0.000981,Literature_Brix_TDS_t6.1h
LIT0115,5.62,4382.7,17.7,17.2,13.0289,0.0697,0.001119,Literature_Brix_TDS_t18.2h
LIT0116,5.67,4650.2,19.4,22.7,15.4341,0.0769,0.001137,Literature_Brix_TDS_t20.3h
LIT0117,5.7,3166.9,29.2,16.7,9.6623,0.0685,0.000959,Literature_Brix_TDS_t12.7h
LIT0118,5.71,3338.4,17.8,15.9,8.7715,0.0718,0.001043,Literature_Brix_TDS_t11.8h
LIT0119,5.54,5505.7,19.5,23.4,17.4064,0.0828,0.001289,Literature_Brix_TDS_t22.9h
LIT0120,5.79,3247.6,23.4,15.9,6.1364,0.0543,0.000981,Literature_Brix_TDS_t7.7h
LIT0121,5.69,4169.0,20.8,15.1,11.8701,0.0766,0.000943,Literature_Brix_TDS_t17.8h
LIT0122,5.79,3717.1,28.9,13.0,9.7356,0.0654,0.000947,Literature_Brix_TDS_t14.9h
LIT0123,5.66,5659.2,17.8,18.8,17.811,0.0726,0.001067,Literature_Brix_TDS_t23.8h
LIT0124,5.69,5065.5,25.2,13.7,16.4779,0.0732,0.001032,Literature_Brix_TDS_t22.1h
LIT0125,5.79,3199.5,16.6,9.1,6.2492,0.0674,0.000926,Literature_Brix_TDS_t8.2h
LIT0126,5.79,3957.5,26.3,16.8,10.2647,0.0672,0.001011,Literature_Brix_TDS_t15.8h
LIT0127,5.72,3425.7,20.8,14.4,9.0994,0.0722,0.00095,Literature_Brix_TDS_t12.2h
LIT0128,5.87,3127.5,16.3,8.0,5.5097,0.0672,0.00091,Literature_Brix_TDS_t2.2h
LIT0129,5.64,4590.4,19.9,17.5,15.5437,0.0765,0.001112,Literature_Brix_TDS_t20.7h
LIT0130,5.5,5174.5,29.3,10.6,16.7983,0.082,0.001412,Literature_Brix_TDS_t21.8h
LIT0131,5.74,3128.2,16.3,12.5,6.3771,0.0686,0.001029,Literature_Brix_TDS_t7.7h
LIT0132,5.68,3314.0,23.6,18.3,8.273,0.0721,0.000942,Literature_Brix_TDS_t10.7h
LIT0133,5.73,3191.8,29.7,9.0,5.5444,0.0682,0.000959,Literature_Brix_TDS_t5.9h
LIT0134,5.74,3453.4,20.1,16.3,8.1689,0.0704,0.000938,Literature_Brix_TDS_t11.5h
LIT0135,5.76,3270.2,16.1,9.5,5.4968,0.0695,0.001066,Literature_Brix_TDS_t5.3h
LIT0136,5.8,3024.7,30.0,9.5,5.3461,0.0662,0.001056,Literature_Brix_TDS_t3.3h
LIT0137,5.71,3831.2,17.9,18.7,9.5127,0.0704,0.000959,Literature_Brix_TDS_t14.9h
LIT0138,5.72,3605.1,21.9,14.9,9.4914,0.0695,0.001014,Literature_Brix_TDS_t15.9h
LIT0139,5.78,3905.2,26.2,21.1,9.6865,0.0713,0.00104,Literature_Brix_TDS_t15.7h
LIT0140,5.68,3272.1,27.0,10.0,7.8554,0.0687,0.001114,Literature_Brix_TDS_t10.2h
LIT0141,5.7,3070.9,28.5,15.0,6.4852,0.071,0.001059,Literature_Brix_TDS_t7.7h
LIT0142,5.84,3035.3,16.0,10.2,5.5838,0.0623,0.000935,Literature_Brix_TDS_t3.7h
LIT0143,5.67,3745.0,28.1,13.6,10.5335,0.0711,0.000966,Literature_Brix_TDS_t15.7h
LIT0144,5.83,3326.8,26.5,12.4,5.2205,0.0637,0.001088,Literature_Brix_TDS_t2.2h
LIT0145,5.76,3076.3,17.7,16.8,5.9217,0.066,0.001032,Literature_Brix_TDS_t8.8h
LIT0146,5.66,4572.6,25.1,21.4,15.227,0.0733,0.001043,Literature_Brix_TDS_t19.8h
LIT0147,5.53,5439.5,25.2,18.8,16.7761,0.0737,0.001217,Literature_Brix_TDS_t23.4h
LIT0148,5.69,3668.9,16.7,11.8,10.1656,0.0637,0.000983,Literature_Brix_TDS_t13.2h
LIT0149,5.7,3010.4,21.4,16.8,7.5061,0.0724,0.000864,Literature_Brix_TDS_t10.0h
LIT0150,5.71,3568.2,19.0,15.2,9.1045,0.0717,0.001002,Literature_Brix_TDS_t13.5h
LIT0151,5.61,5065.0,16.8,26.9,16.8901,0.0833,0.001035,Literature_Brix_TDS_t21.4h
LIT0152,5.6,3727.0,21.9,19.1,10.9441,0.0757,0.001103,Literature_Brix_TDS_t16.3h
LIT0153,5.91,2998.3,19.7,18.1,5.7119,0.058,0.000935,Literature_Brix_TDS_t7.7h
LIT0154,5.51,5086.0,24.7,14.7,16.0169,0.0865,0.00137,Literature_Brix_TDS_t22.3h
LIT0155,5.59,4537.1,21.6,21.5,15.1975,0.0743,0.001218,Literature_Brix_TDS_t19.7h
LIT0156,5.58,4251.3,22.9,9.3,14.412,0.0777,0.001225,Literature_Brix_TDS_t19.3h
LIT0157,5.74,3622.7,17.4,21.8,9.5178,0.0645,0.001085,Literature_Brix_TDS_t14.0h
LIT0158,5.72,3198.6,29.1,14.6,7.7218,0.0632,0.001027,Literature_Brix_TDS_t9.8h
LIT0159,5.66,3540.0,20.5,19.6,9.1287,0.0725,0.001174,Literature_Brix_TDS_t13.6h
LIT0160,5.86,3161.9,23.9,13.1,5.848,0.0619,0.000883,Literature_Brix_TDS_t4.0h
LIT0161,5.71,5305.8,29.2,17.9,17.1402,0.0717,0.0009,Literature_Brix_TDS_t22.3h
LIT0162,5.87,3393.0,16.4,16.8,4.8039,0.0529,0.000789,Literature_Brix_TDS_t0.1h
LIT0163,5.65,3289.0,28.3,23.7,8.4048,0.0765,0.001069,Literature_Brix_TDS_t11.2h
LIT0164,5.83,2896.3,29.5,8.0,5.3437,0.0614,0.000857,Literature_Brix_TDS_t3.9h
LIT0165,5.74,3332.7,22.7,15.7,9.5844,0.0587,0.00087,Literature_Brix_TDS_t14.3h
LIT0166,5.67,3168.3,27.1,12.7,6.6773,0.0738,0.001065,Literature_Brix_TDS_t10.2h
LIT0167,5.54,4864.9,25.7,16.0,16.044,0.0771,0.001271,Literature_Brix_TDS_t21.0h
LIT0168,5.71,3772.2,19.0,16.5,9.7924,0.073,0.0008,Literature_Brix_TDS_t14.8h
LIT0169,5.85,3203.4,29.6,14.6,5.5972,0.0653,0.001167,Literature_Brix_TDS_t2.3h
LIT0170,5.72,3754.0,23.5,12.9,9.5261,0.079,0.000976,Literature_Brix_TDS_t15.2h
LIT0171,5.66,3951.2,29.1,12.5,11.6119,0.0744,0.0012,Literature_Brix_TDS_t16.9h
LIT0172,5.79,3092.4,21.6,11.7,5.3356,0.0697,0.000811,Literature_Brix_TDS_t3.7h
LIT0173,5.7,3152.0,17.3,19.5,5.7991,0.0743,0.000839,Literature_Brix_TDS_t7.5h
LIT0174,5.6,5419.4,27.1,22.0,17.7802,0.0766,0.001171,Literature_Brix_TDS_t23.4h
LIT0175,5.59,5236.0,21.4,12.8,18.0062,0.0772,0.001279,Literature_Brix_TDS_t23.3h
LIT0176,5.79,3066.9,24.6,10.4,5.35,0.0677,0.0008,Literature_Brix_TDS_t1.9h
LIT0177,5.64,5588.8,29.7,24.5,17.847,0.0726,0.001064,Literature_Brix_TDS_t23.4h
LIT0178,5.85,3264.4,23.5,12.5,4.9868,0.0648,0.000916,Literature_Brix_TDS_t1.5h
LIT0179,5.78,3804.7,17.3,25.9,9.158,0.0705,0.001028,Literature_Brix_TDS_t14.8h
LIT0180,5.78,3128.8,20.5,15.8,6.7335,0.0628,0.001016,Literature_Brix_TDS_t9.1h
LIT0181,5.78,3220.9,18.6,10.4,5.9151,0.0601,0.000969,Literature_Brix_TDS_t5.5h
LIT0182,5.65,2969.9,22.7,13.4,8.8952,0.0749,0.000955,Literature_Brix_TDS_t12.2h
LIT0183,5.93,3166.4,22.6,12.6,5.6335,0.0576,0.000924,Literature_Brix_TDS_t5.5h
LIT0184,5.73,4405.9,24.9,27.8,15.0962,0.0693,0.001093,Literature_Brix_TDS_t19.7h
LIT0185,5.63,3700.6,22.0,21.3,10.3122,0.0745,0.000991,Literature_Brix_TDS_t15.9h
LIT0186,5.74,3039.5,18.8,15.6,7.7753,0.0594,0.000935,Literature_Brix_TDS_t11.0h
LIT0187,5.76,2943.4,18.8,16.0,6.5514,0.0698,0.000959,Literature_Brix_TDS_t6.5h
LIT0188,5.71,4097.2,22.7,19.4,13.3702,0.0708,0.000901,Literature_Brix_TDS_t18.3h
LIT0189,5.8,3033.2,22.7,14.3,5.1639,0.0609,0.001007,Literature_Brix_TDS_t3.1h
LIT0190,5.82,3162.9,18.5,14.7,7.8701,0.0664,0.000781,Literature_Brix_TDS_t10.8h
LIT0191,5.67,4173.4,22.1,21.6,13.5079,0.0645,0.000898,Literature_Brix_TDS_t18.0h
LIT0192,5.64,4362.7,28.1,13.0,12.9339,0.0629,0.001062,Literature_Brix_TDS_t18.3h
LIT0193,5.69,5216.6,16.2,10.7,16.4806,0.0735,0.001023,Literature_Brix_TDS_t21.8h
LIT0194,5.83,3364.7,19.2,19.5,9.7525,0.0571,0.000876,Literature_Brix_TDS_t13.6h
LIT0195,5.65,4909.5,19.8,24.4,16.0024,0.0727,0.000928,Literature_Brix_TDS_t20.9h
LIT0196,5.62,3518.5,16.8,14.1,9.5349,0.0737,0.001015,Literature_Brix_TDS_t13.4h
LIT0197,5.73,3954.2,19.7,15.9,10.2289,0.0698,0.000885,Literature_Brix_TDS_t16.4h
LIT0198,5.58,4344.6,19.7,21.4,14.5486,0.0711,0.001202,Literature_Brix_TDS_t19.5h
LIT0199,5.57,4256.8,19.0,18.3,13.7206,0.082,0.001038,Literature_Brix_TDS_t18.6h
LIT0200,5.87,3170.0,17.2,11.8,5.5323,0.0549,0.000762,Literature_Brix_TDS_t0.9h
LIT0201,5.72,3088.7,28.1,12.8,5.2218,0.0667,0.00098,Literature_Brix_TDS_t4.5h
LIT0202,5.84,3222.8,26.2,15.1,7.5255,0.0677,0.001051,Literature_Brix_TDS_t9.9h
LIT0203,5.83,3302.8,27.1,12.7,5.4924,0.0622,0.000973,Literature_Brix_TDS_t4.8h
LIT0204,5.74,3127.2,21.6,25.9,5.8075,0.0614,0.000976,Literature_Brix_TDS_t6.6h
LIT0205,5.89,3195.1,19.0,13.1,5.3074,0.0652,0.000762,Literature_Brix_TDS_t0.8h
LIT0206,5.72,3261.0,24.7,14.4,5.8143,0.0696,0.000973,Literature_Brix_TDS_t5.5h
LIT0207,5.62,5437.2,23.4,13.6,16.4598,0.0772,0.000933,Literature_Brix_TDS_t22.5h
LIT0208,5.81,3171.1,24.2,12.2,4.8313,0.0619,0.000909,Literature_Brix_TDS_t2.8h
LIT0209,5.77,3079.7,18.6,15.5,5.9279,0.0597,0.00101,Literature_Brix_TDS_t5.9h
LIT0210,5.61,5027.3,22.6,24.1,17.6033,0.0725,0.001147,Literature_Brix_TDS_t22.0h
LIT0211,5.63,4745.4,29.7,19.5,16.2318,0.0765,0.00109,Literature_Brix_TDS_t21.0h
LIT0212,5.72,3148.0,16.3,8.7,6.4094,0.0654,0.000907,Literature_Brix_TDS_t8.1h
LIT0213,5.69,3371.6,16.4,15.4,8.6971,0.0745,0.000938,Literature_Brix_TDS_t11.9h
LIT0214,5.63,3982.9,19.0,19.6,12.686,0.0726,0.001289,Literature_Brix_TDS_t18.0h
LIT0215,5.76,2995.4,24.9,8.0,5.7635,0.0683,0.001102,Literature_Brix_TDS_t5.5h
LIT0216,5.73,3362.4,27.4,8.0,8.1825,0.0718,0.000941,Literature_Brix_TDS_t10.8h
LIT0217,5.58,5514.3,18.4,14.4,17.6295,0.0817,0.001091,Literature_Brix_TDS_t23.3h
LIT0218,5.84,3313.9,27.6,10.5,5.8869,0.0636,0.000953,Literature_Brix_TDS_t1.7h
LIT0219,5.54,4855.2,22.3,22.7,16.2218,0.0738,0.001256,Literature_Brix_TDS_t21.2h
LIT0220,5.74,4299.0,27.8,13.1,14.3258,0.0713,0.000888,Literature_Brix_TDS_t19.1h
LIT0221,5.88,3117.7,25.6,10.1,5.3431,0.0582,0.000905,Literature_Brix_TDS_t1.9h
LIT0222,5.91,3318.2,24.7,14.6,6.0896,0.0553,0.000888,Literature_Brix_TDS_t7.0h
LIT0223,5.67,3740.6,17.2,20.8,10.1554,0.0686,0.001248,Literature_Brix_TDS_t16.4h
LIT0224,5.8,3074.7,22.6,20.7,5.6023,0.0701,0.000974,Literature_Brix_TDS_t5.7h
LIT0225,5.81,3155.6,17.0,16.3,8.9264,0.0548,0.000871,Literature_Brix_TDS_t11.8h
LIT0226,5.63,3425.3,18.5,20.0,9.3076,0.0678,0.001097,Literature_Brix_TDS_t11.8h
LIT0227,5.72,2996.1,24.0,14.9,7.6698,0.0673,0.000915,Literature_Brix_TDS_t10.4h
LIT0228,5.67,3643.4,26.6,9.3,9.9147,0.0743,0.001027,Literature_Brix_TDS_t15.0h
LIT0229,5.54,3941.3,20.0,18.0,13.2873,0.08,0.001235,Literature_Brix_TDS_t18.1h
LIT0230,5.59,5807.6,28.0,23.0,18.2293,0.0818,0.001234,Literature_Brix_TDS_t23.8h
LIT0231,5.74,4601.2,29.8,17.8,15.7195,0.0718,0.000955,Literature_Brix_TDS_t20.0h
LIT0232,5.78,3173.2,24.9,13.5,6.1077,0.0726,0.000878,Literature_Brix_TDS_t7.7h
LIT0233,5.68,3206.3,22.2,8.0,5.9959,0.0721,0.000921,Literature_Brix_TDS_t7.9h
LIT0234,5.86,3116.7,19.9,14.9,5.295,0.0641,0.000895,Literature_Brix_TDS_t0.5h
LIT0235,5.76,3240.7,22.2,8.0,5.4305,0.0731,0.001032,Literature_Brix_TDS_t0.5h
LIT0236,5.67,4940.7,23.7,20.1,16.4508,0.0759,0.000985,Literature_Brix_TDS_t21.4h
LIT0237,5.56,3916.5,20.2,25.0,11.5009,0.0841,0.001103,Literature_Brix_TDS_t17.4h
LIT0238,5.84,3131.4,22.1,13.4,5.6356,0.0587,0.000966,Literature_Brix_TDS_t1.1h
LIT0239,5.6,4527.1,24.4,9.9,14.9372,0.075,0.001109,Literature_Brix_TDS_t19.5h
LIT0240,5.67,3191.9,29.0,19.9,8.3467,0.0746,0.001011,Literature_Brix_TDS_t10.9h
LIT0241,5.63,5218.6,29.6,21.1,16.4681,0.0715,0.001145,Literature_Brix_TDS_t22.2h
LIT0242,5.65,3319.4,21.8,16.7,4.5,0.0723,0.00095,Literature_Brix_TDS_t1.9h
LIT0243,5.9,2946.9,23.1,8.0,5.5845,0.0577,0.000869,Literature_Brix_TDS_t1.8h
LIT0244,5.73,2936.5,29.2,20.1,6.8981,0.0635,0.001078,Literature_Brix_TDS_t8.9h
LIT0245,5.71,3072.6,29.0,15.4,6.4009,0.0654,0.000781,Literature_Brix_TDS_t9.1h
LIT0246,5.76,3064.6,17.0,21.2,4.8208,0.0678,0.00097,Literature_Brix_TDS_t3.6h
LIT0247,5.7,3127.9,22.2,9.9,5.802,0.0693,0.000913,Literature_Brix_TDS_t8.0h
LIT0248,5.61,4871.2,25.6,21.0,16.0522,0.0763,0.001122,Literature_Brix_TDS_t21.2h
