pH,temperature_C,citric_percent_wv
5.545,27.28,0.08428
5.226,29.37,0.09869
5.249,28.43,0.09227
5.379,30.53,0.08008
5.751,20.77,0.06505
5.715,27.91,0.06382
5.339,21.83,0.09104
5.354,18.98,0.08577
5.612,24.28,0.07364
5.21,24.54,0.10282
5.666,21.82,0.07605
5.053,21.3,0.10796
5.335,30.14,0.08451
5.7,29.08,0.06876
4.699,24.92,0.13044
5.352,19.52,0.0859
5.634,30.22,0.0669
5.238,26.49,0.09657
5.426,20.38,0.08348
5.746,29.68,0.05998
5.015,21.71,0.11631
5.471,21.29,0.07861
5.12,24.06,0.10932
5.604,29.69,0.06852
5.328,18.54,0.09151
5.61,23.53,0.06696
4.96,23.74,0.11131
5.455,31.76,0.08062
5.801,28.22,0.0636
5.258,20.6,0.09825
5.617,29.24,0.07188
5.083,31.21,0.10849
5.683,18.49,0.07273
5.661,30.84,0.07471
5.062,30.14,0.10583
5.593,28.93,0.07649
5.286,25.38,0.09014
5.566,19.65,0.07217
5.402,23.53,0.08813
5.092,27.49,0.10845
5.554,28.11,0.07177
5.183,24.64,0.10556
5.254,21.98,0.09609
5.793,22.22,0.0612
5.465,29.61,0.08123
5.528,24.94,0.07539
5.696,23.55,0.07111
5.579,30.13,0.07188
5.361,21.44,0.08416
5.749,26.9,0.05504
5.306,26.97,0.09426
5.548,26.1,0.07064
5.696,22.65,0.06826
4.821,19.0,0.13152
4.892,26.12,0.11908
5.7,25.31,0.06266
5.126,20.38,0.10175
5.014,29.79,0.11153
5.656,28.71,0.06612
5.503,22.13,0.07787
5.469,26.54,0.08311
5.501,27.56,0.07441
5.201,21.11,0.09604
5.047,25.64,0.11097
5.394,30.99,0.08387
5.504,19.01,0.08618
5.764,24.56,0.06814
5.03,19.33,0.11812
5.528,18.45,0.0748
5.735,26.77,0.06441
5.257,21.23,0.09991
5.629,31.98,0.06663
5.082,26.15,0.11145
5.365,30.04,0.08892
5.342,22.24,0.09184
5.783,29.18,0.06005
5.418,25.08,0.08779
5.548,22.63,0.07579
5.621,21.19,0.07012
4.818,20.48,0.13132
4.865,26.14,0.12373
4.902,24.23,0.11468
5.643,18.15,0.07317
5.406,20.84,0.08679
5.401,24.92,0.08625
5.131,18.64,0.10807
4.708,27.02,0.1243
5.66,19.44,0.07061
5.059,21.13,0.10741
4.941,30.96,0.11632
4.812,31.33,0.12541
5.796,31.59,0.06169
5.72,26.61,0.06672
4.897,19.05,0.1236
5.318,22.37,0.09142
5.235,21.07,0.10085
5.516,30.03,0.07432
5.033,30.97,0.1083
5.779,19.24,0.05991
4.933,28.55,0.12327
5.678,29.8,0.07065
5.468,30.39,0.07729
4.925,18.66,0.12149
5.317,25.31,0.09368
5.404,27.12,0.07675
5.092,23.52,0.10911
5.347,18.31,0.09113
5.209,28.96,0.09641
5.449,21.99,0.08584
5.831,18.59,0.0639
4.891,31.83,0.11475
5.692,24.72,0.07485
4.934,25.06,0.11752
5.744,31.6,0.06289
5.623,21.91,0.06147
5.431,20.61,0.09168
5.26,27.52,0.10065
5.127,22.88,0.11559
5.158,26.01,0.10218
5.208,24.92,0.1061
5.584,29.3,0.0724
5.504,31.9,0.08041
5.356,20.49,0.09335
5.734,18.55,0.06178
5.104,20.7,0.10984
5.136,19.26,0.1064
5.632,31.0,0.07252
5.165,28.71,0.10517
5.282,29.29,0.09623
4.944,28.78,0.11546
4.796,29.19,0.12934
4.895,23.8,0.12425
5.111,23.95,0.10943
5.742,22.59,0.06715
5.082,20.13,0.11816
5.297,21.59,0.10526
5.745,19.99,0.06393
5.695,21.69,0.07085
5.381,18.82,0.08547
4.854,21.62,0.12848
5.759,20.6,0.0659
5.525,20.19,0.07556
5.355,19.23,0.10196
5.734,22.97,0.06043
5.014,21.55,0.11783
4.798,22.75,0.12875
5.691,30.27,0.06132
5.227,22.16,0.09888
5.087,20.76,0.11096
5.194,25.47,0.09823
5.476,25.31,0.08328
4.82,27.78,0.12685
4.845,19.77,0.12517
5.501,26.81,0.07374
5.622,18.51,0.07171
5.693,23.88,0.06545
5.505,19.31,0.07943
5.001,31.61,0.10858
5.158,18.55,0.10336
4.818,31.28,0.1261
5.376,22.55,0.09301
5.464,31.93,0.07942
5.008,22.02,0.11874
5.328,18.46,0.08939
4.87,31.8,0.11638
5.34,26.13,0.08524
4.955,27.66,0.11974
5.35,20.38,0.09095
5.163,18.93,0.11727
4.863,18.79,0.12327
5.41,29.14,0.09147
5.806,29.63,0.06037
5.725,27.59,0.06526
5.192,24.47,0.10466
4.981,20.1,0.10543
4.971,29.87,0.11232
4.756,28.67,0.13571
5.617,26.29,0.07416
4.811,31.88,0.12504
4.949,26.35,0.1213
5.663,21.46,0.06784
5.226,27.55,0.09957
5.486,19.5,0.09304
4.88,19.73,0.12652
4.871,28.16,0.12221
5.47,29.59,0.08296
5.182,31.4,0.09671
5.279,31.97,0.0945
5.352,26.0,0.08596
5.452,27.2,0.08721
5.586,19.42,0.07508
5.672,19.27,0.0739
5.614,26.31,0.07333
5.198,28.13,0.09228
4.832,20.7,0.13446
5.428,19.48,0.09475
5.212,29.24,0.0947
4.823,30.37,0.12493
5.06,24.98,0.11194
5.794,21.88,0.06255
5.733,26.99,0.06626
4.836,21.26,0.11831
5.018,21.01,0.11233
5.206,30.77,0.09693
5.683,26.84,0.05927
5.518,31.41,0.07391
5.211,25.14,0.10008
5.174,31.58,0.09801
5.167,24.99,0.10612
5.163,18.35,0.11078
4.852,27.5,0.13081
5.435,18.58,0.09104
5.806,25.81,0.06011
5.324,27.75,0.09167
5.737,20.72,0.07081
5.146,24.32,0.10516
5.704,19.74,0.0652
4.9,31.2,0.1213
5.539,28.55,0.07736
5.388,27.32,0.07734
5.563,28.82,0.06862
5.067,29.52,0.11321
5.837,31.05,0.05809
5.334,22.04,0.09422
5.354,26.82,0.09076
5.361,29.52,0.0882
5.607,30.08,0.07587
5.578,27.3,0.07303
5.291,28.42,0.0926
5.157,19.48,0.09899
5.244,21.44,0.09698
5.746,26.05,0.06101
5.276,24.61,0.09233
5.289,28.44,0.08891
5.685,26.16,0.068
5.028,21.57,0.11269
5.22,31.82,0.1004
5.259,27.64,0.09926
5.602,24.56,0.07092
4.988,31.61,0.11012
5.649,25.04,0.0666
5.396,29.3,0.08209
4.916,28.99,0.11506
5.71,22.18,0.06925
5.119,20.54,0.11126
5.35,29.82,0.08753
5.169,20.89,0.10324
4.857,28.14,0.12193
5.687,30.18,0.06855
5.389,30.87,0.08899
4.902,24.23,0.12406
5.809,29.19,0.05937
5.543,27.08,0.07434
4.974,19.45,0.12236
5.041,27.62,0.11038
5.298,19.05,0.09802
5.652,26.77,0.0675
5.701,24.89,0.07125
4.842,22.6,0.12511
4.964,30.23,0.11114
4.735,21.96,0.13253
5.751,27.51,0.06657
5.767,24.51,0.05965
5.642,24.32,0.07834
5.513,27.1,0.07702
4.803,24.06,0.12379
5.045,21.26,0.1161
5.212,24.04,0.09892
5.561,27.25,0.07715
5.246,22.45,0.0959
4.954,25.8,0.11714
5.388,18.28,0.08081
5.085,25.41,0.10788
4.912,22.61,0.12622
4.822,19.52,0.1309
5.866,26.54,0.06823
5.821,26.72,0.06259
5.754,31.96,0.06257
5.8,30.92,0.05847
4.925,27.43,0.11985
5.122,18.48,0.11088
4.779,27.44,0.12547
5.492,23.11,0.0763
5.084,30.35,0.11268
5.111,21.42,0.10612
5.019,20.36,0.11547
5.187,31.41,0.10137
5.614,30.79,0.0707
4.956,21.47,0.11718
5.73,26.29,0.06173
5.13,26.03,0.107
5.493,31.03,0.07906
5.475,28.03,0.07978
5.184,26.49,0.11259
4.811,20.24,0.1237
5.684,25.69,0.07132
5.466,31.71,0.08206
5.329,28.44,0.08746
5.5,19.11,0.08667
5.717,27.77,0.06717
5.713,22.57,0.06284
5.281,22.4,0.09336
5.631,23.29,0.0698
5.015,31.8,0.10466
4.812,26.9,0.12853
5.611,28.49,0.06905
